,structure,cbm,delta_1s,ba_cbm,ba_vbm,a,b,c,concent
0,*_Ca_0.vasp,4.2395,-7.343826668,-3.104326668,-5.048226668,13.11555565,13.11555565,13.11555565,0
1,*_Ca_1.vasp,4.0314,-7.286845186,-3.255445186,-5.149245186,13.21273888,13.21273888,13.21273888,1
2,*_Ca_2.vasp,3.8384,-7.235989631,-3.397589631,-5.243089631,13.30676466,13.30676466,13.30676466,2
3,*_Ca_3.vasp,3.6717,-7.189693334,-3.517993334,-5.335793334,13.39988829,13.39988829,13.39988829,3
4,*_Ca_4.vasp,3.5362,-7.145930371,-3.609730371,-5.423830371,13.49334734,13.49334734,13.49334734,4
5,*_Ca_5.vasp,3.4107,-7.108174816,-3.697474816,-5.508374816,13.58334236,13.58334236,13.58334236,5
6,*_Ca_6.vasp,3.2756,-7.072108149,-3.796508149,-5.584808149,13.67166499,13.67166499,13.67166499,6
7,*_Ca_7.vasp,3.1917,-7.041645186,-3.849945186,-5.666845186,13.75958309,13.75958309,13.75958309,7
8,*_Ca_8.vasp,3.1205,-7.016263705,-3.895763705,-5.736863705,13.84360226,13.84360226,13.84360226,8
9,*_Ca_9.vasp,3.046,-6.99284889,-3.94684889,-5.80134889,13.92679711,13.92679711,13.92679711,9
10,*_Ca_10.vasp,3.0019,-6.972378519,-3.970478519,-5.868378519,14.00930034,14.00930034,14.00930034,10
11,*_Ca_11.vasp,2.9532,-6.957108149,-4.003908149,-5.940008149,14.08825787,14.08825787,14.08825787,11
12,*_Ca_12.vasp,2.9283,-6.94551926,-4.01721926,-5.99681926,14.16539019,14.16539019,14.16539019,12
13,*_Ca_13.vasp,2.9432,-6.939860001,-3.996660001,-6.067860001,14.24180119,14.24180119,14.24180119,13
14,*_Ca_14.vasp,2.9127,-6.934534075,-4.021834075,-6.127234075,14.31456524,14.31456524,14.31456524,14
15,*_Ca_15.vasp,2.8696,-6.927341482,-4.057741482,-6.168441482,14.38516689,14.38516689,14.38516689,15
16,*_Ca_16.vasp,3.0407,-6.937474816,-3.896774816,-5.988974816,14.45391,14.45391,14.45391,16
17,*_Ca_17.vasp,2.9142,-6.929300742,-4.015100742,-6.304700742,14.52148585,14.52148585,14.52148585,17
18,*_Ca_18.vasp,2.9232,-6.932808149,-4.009608149,-6.335608149,14.58666121,14.58666121,14.58666121,18
19,*_Ca_19.vasp,2.9812,-6.941074816,-3.959874816,-6.382274816,14.64981099,14.64981099,14.64981099,19
20,*_Ca_20.vasp,3.085,-6.949860001,-3.864860001,-6.480960001,14.71126606,14.71126606,14.71126606,20
21,*_Ca_21.vasp,3.0869,-6.960652594,-3.873752594,-6.532752594,14.76960038,14.76960038,14.76960038,21
22,*_Ca_22.vasp,3.1573,-6.975382223,-3.818082223,-6.602182223,14.82676261,14.82676261,14.82676261,22
23,*_Ca_23.vasp,3.2231,-6.989863705,-3.766763705,-6.668163705,14.88173436,14.88173436,14.88173436,23
24,*_Ca_24.vasp,3.2542,-7.004989631,-3.750789631,-6.728689631,14.93458135,14.93458135,14.93458135,24
25,*_Ca_25.vasp,3.325,-7.022641482,-3.697641482,-6.793941482,14.985951,14.985951,14.985951,25
26,*_Ca_26.vasp,3.5001,-7.041760001,-3.541660001,-6.913160001,15.03566238,15.03566238,15.03566238,26
27,*_Ca_27.vasp,3.7326,-7.060926668,-3.328326668,-7.107026668,15.08338742,15.08338742,15.08338742,27
