,structure,mean_1s,delta_1s,ba_cbm,ba_vbm,ba_frm,a,b,c,alpha,beta,gamma,concent
0,*_Mg_0.vasp,-31612.7799,-7.343826668,-3.104326668,-5.048226668,-5.001326668,13.11555572,13.11555572,13.11555572,60,60,60,0
1,*_Mg_1.vasp,-31612.78681,-7.336911853,-3.136911853,-5.094611853,-5.035611853,13.14527936,13.14527936,13.14527936,60,60,60,1
2,*_Mg_2.vasp,-31612.78884,-7.334882223,-3.168782223,-5.139482223,-5.092382223,13.17238445,13.17238445,13.17238445,60,60,60,2
3,*_Mg_3.vasp,-31612.7917,-7.332022964,-3.197522964,-5.184722964,-5.129522964,13.19999774,13.19999774,13.19999774,60,60,60,3
4,*_Mg_4.vasp,-31612.79449,-7.329234075,-3.217534075,-5.228834075,-5.168034075,13.22770049,13.22770049,13.22770049,60,60,60,4
5,*_Mg_5.vasp,-31612.79692,-7.326808149,-3.239608149,-5.272808149,-5.224308149,13.25509218,13.25509218,13.25509218,60,60,60,5
6,*_Mg_6.vasp,-31612.7994,-7.324330371,-3.271030371,-5.316630371,-5.261830371,13.28236435,13.28236435,13.28236435,60,60,60,6
7,*_Mg_7.vasp,-31612.80078,-7.322945186,-3.285645186,-5.360445186,-5.301645186,13.30932546,13.30932546,13.30932546,60,60,60,7
8,*_Mg_8.vasp,-31612.80204,-7.321689631,-3.299889631,-5.402689631,-5.340489631,13.33604798,13.33604798,13.33604798,60,60,60,8
9,*_Mg_9.vasp,-31612.80307,-7.320660001,-3.321960001,-5.444060001,-5.398160001,13.36261913,13.36261913,13.36261913,60,60,60,9
10,*_Mg_10.vasp,-31612.80349,-7.320234075,-3.332634075,-5.486434075,-5.437734075,13.38900205,13.38900205,13.38900205,60,60,60,10
11,*_Mg_11.vasp,-31612.80317,-7.320556297,-3.340756297,-5.529756297,-5.478056297,13.41488777,13.41488777,13.41488777,60,60,60,11
12,*_Mg_12.vasp,-31612.80328,-7.32044889,-3.35204889,-5.56974889,-5.51794889,13.44100072,13.44100072,13.44100072,60,60,60,12
13,*_Mg_13.vasp,-31612.80223,-7.321500742,-3.334700742,-5.613400742,-5.559000742,13.46685954,13.46685954,13.46685954,60,60,60,13
14,*_Mg_14.vasp,-31612.80134,-7.322389631,-3.343189631,-5.654589631,-5.599889631,13.49241549,13.49241549,13.49241549,60,60,60,14
15,*_Mg_15.vasp,-31612.80009,-7.323641482,-3.375341482,-5.693441482,-5.641141482,13.51738165,13.51738165,13.51738165,60,60,60,15
16,*_Mg_16.vasp,-31612.79862,-7.325108149,-3.376208149,-5.734908149,-5.682608149,13.54258824,13.54258824,13.54258824,60,60,60,16
17,*_Mg_17.vasp,-31612.79721,-7.326515557,-3.364315557,-5.775315557,-5.724015557,13.56775432,13.56775432,13.56775432,60,60,60,17
18,*_Mg_18.vasp,-31612.79536,-7.328371112,-3.368871112,-5.814871112,-5.765871112,13.59265502,13.59265502,13.59265502,60,60,60,18
19,*_Mg_19.vasp,-31612.79274,-7.330985927,-3.353685927,-5.856985927,-5.808485927,13.61720298,13.61720298,13.61720298,60,60,60,19
20,*_Mg_20.vasp,-31612.78991,-7.333815557,-3.320215557,-5.898715557,-5.851315557,13.64159537,13.64159537,13.64159537,60,60,60,20
21,*_Mg_21.vasp,-31612.78688,-7.336845186,-3.322645186,-5.938945186,-5.894345186,13.66564111,13.66564111,13.66564111,60,60,60,21
22,*_Mg_22.vasp,-31612.78328,-7.340445186,-3.292345186,-5.980445186,-5.919245186,13.6895789,13.6895789,13.6895789,60,60,60,22
23,*_Mg_23.vasp,-31612.7795,-7.344226668,-3.270626668,-6.022426668,-5.962926668,13.71320054,13.71320054,13.71320054,60,60,60,23
24,*_Mg_24.vasp,-31612.77551,-7.34821926,-3.26171926,-6.06331926,-6.00691926,13.73656136,13.73656136,13.73656136,60,60,60,24
25,*_Mg_25.vasp,-31612.77096,-7.352767408,-3.230367408,-6.106167408,-6.050267408,13.75966124,13.75966124,13.75966124,60,60,60,25
26,*_Mg_26.vasp,-31612.76613,-7.357593334,-3.172493334,-6.149793334,-6.095093334,13.78260702,13.78260702,13.78260702,60,60,60,26
27,*_Mg_27.vasp,-31612.761,-7.362726668,-3.121726668,-6.192526668,-6.140226668,13.80521334,13.80521334,13.80521334,60,60,60,27
