,structure,mean_1s,delta_1s,ba_cbm,ba_vbm,ba_frm,a,b,c,gamma,concent
0,*_S_0.vasp,-9516.837156,-7.354871112,-3.116471112,-5.059971112,-5.012371112,13.11590355,13.11590355,13.11590355,60,0
1,*_S_1.vasp,-9516.849996,-7.342030371,-3.226330371,-5.069530371,-5.019530371,13.07245485,13.07245485,13.07245485,60,1
2,*_S_2.vasp,-9516.862067,-7.329960001,-3.330660001,-5.058260001,-5.007460001,13.02778671,13.02778671,13.02778671,60,2
3,*_S_3.vasp,-9516.873407,-7.31861926,-3.39491926,-5.05621926,-4.99731926,12.98252891,12.98252891,12.98252891,60,3
4,*_S_4.vasp,-9516.883041,-7.308985927,-3.415885927,-5.074585927,-5.026485927,12.93611479,12.93611479,12.93611479,60,4
5,*_S_5.vasp,-9516.892974,-7.299052594,-3.449252594,-5.077752594,-5.017852594,12.8890583,12.8890583,12.8890583,60,5
6,*_S_6.vasp,-9516.903048,-7.28897852,-3.50697852,-5.06507852,-5.00777852,12.84138492,12.84138492,12.84138492,60,6
7,*_S_7.vasp,-9516.910259,-7.281767408,-3.516867408,-5.097667408,-5.040567408,12.79255272,12.79255272,12.79255272,60,7
8,*_S_8.vasp,-9516.918115,-7.273911853,-3.550011853,-5.077911853,-5.031411853,12.74253274,12.74253274,12.74253274,60,8
9,*_S_9.vasp,-9516.924944,-7.267082223,-3.566382223,-5.071482223,-5.024582223,12.69171924,12.69171924,12.69171924,60,9
10,*_S_10.vasp,-9516.929711,-7.262315557,-3.569015557,-5.089015557,-5.039815557,12.63982035,12.63982035,12.63982035,60,10
11,*_S_11.vasp,-9516.934859,-7.257167408,-3.573967408,-5.109567408,-5.055967408,12.58708719,12.58708719,12.58708719,60,11
12,*_S_12.vasp,-9516.942722,-7.249304445,-3.574604445,-5.093704445,-5.046804445,12.53593006,12.53593006,12.53593006,60,12
13,*_S_13.vasp,-9516.9404,-7.251626668,-3.531026668,-5.161226668,-5.109126668,12.47808932,12.47808932,12.47808932,60,13
14,*_S_14.vasp,-9516.946252,-7.245774816,-3.524474816,-5.143374816,-5.084574816,12.42487337,12.42487337,12.42487337,60,14
15,*_S_15.vasp,-9516.943696,-7.248330371,-3.542330371,-5.003730371,-4.947030371,12.36667879,12.36667879,12.36667879,60,15
16,*_S_16.vasp,-9516.943844,-7.248182223,-3.528982223,-5.067182223,-5.006982223,12.30880503,12.30880503,12.30880503,60,16
17,*_S_17.vasp,-9516.938548,-7.25347852,-3.51467852,-5.14607852,-5.09227852,12.24810949,12.24810949,12.24810949,60,17
18,*_S_18.vasp,-9516.931144,-7.260882223,-3.489882223,-5.085482223,-5.038382223,12.18520554,12.18520554,12.18520554,60,18
19,*_S_19.vasp,-9516.923789,-7.268237779,-3.457837779,-5.105037779,-5.047037779,12.12197346,12.12197346,12.12197346,60,19
20,*_S_20.vasp,-9516.912774,-7.279252594,-3.422952594,-5.402152594,-5.356752594,12.0569523,12.0569523,12.0569523,60,20
21,*_S_21.vasp,-9516.9039,-7.288126668,-3.392226668,-5.394126668,-5.345626668,11.99132655,11.99132655,11.99132655,60,21
22,*_S_22.vasp,-9516.890411,-7.301615557,-3.339315557,-5.399615557,-5.340415557,11.92374504,11.92374504,11.92374504,60,22
23,*_S_23.vasp,-9516.874056,-7.317971112,-3.290271112,-5.466271112,-5.415471112,11.85392371,11.85392371,11.85392371,60,23
24,*_S_24.vasp,-9516.855719,-7.336308149,-3.241708149,-5.475308149,-5.415108149,11.78215579,11.78215579,11.78215579,60,24
25,*_S_25.vasp,-9516.833463,-7.358563705,-3.179763705,-5.568463705,-5.516063705,11.70796895,11.70796895,11.70796895,60,25
26,*_S_26.vasp,-9516.804422,-7.387604445,-3.101504445,-6.001704445,-5.945104445,11.6302204,11.6302204,11.6302204,60,26
27,*_S_27.vasp,-9516.780463,-7.411563705,-3.027563705,-6.241563705,-6.189063705,11.55436759,11.55436759,11.55436759,60,27
