,structure,vbm,ba_cbm,ba_vbm,a,b,c,alpha,beta,concent
0,*_Se_0.vasp,2.2949,-3.116471112,-5.059971112,13.11590352,13.11590352,13.11590352,60,60,0
1,*_Se_1.vasp,2.2488,-3.18441926,-5.07251926,13.08679564,13.08679564,13.08679564,60,60,1
2,*_Se_2.vasp,2.2145,-3.255445186,-5.073545186,13.05693709,13.05693709,13.05693709,60,60,2
3,*_Se_3.vasp,2.174,-3.307593334,-5.080393334,13.02708406,13.02708406,13.02708406,60,60,3
4,*_Se_4.vasp,2.1238,-3.332963705,-5.097763705,12.99644408,12.99644408,12.99644408,60,60,4
5,*_Se_5.vasp,2.0795,-3.36754889,-5.10834889,12.96572205,12.96572205,12.96572205,60,60,5
6,*_Se_6.vasp,2.0429,-3.419085927,-5.110585927,12.93484476,12.93484476,12.93484476,60,60,6
7,*_Se_7.vasp,1.9851,-3.438400742,-5.134600742,12.90366454,12.90366454,12.90366454,60,60,7
8,*_Se_8.vasp,1.9544,-3.473737779,-5.130737779,12.87193709,12.87193709,12.87193709,60,60,8
9,*_Se_9.vasp,1.9154,-3.500800742,-5.135600742,12.83964895,12.83964895,12.83964895,60,60,9
10,*_Se_10.vasp,1.8593,-3.515930371,-5.157030371,12.80744862,12.80744862,12.80744862,60,60,10
11,*_Se_11.vasp,1.8047,-3.533308149,-5.176808149,12.77463098,12.77463098,12.77463098,60,60,11
12,*_Se_12.vasp,1.7742,-3.549534075,-5.173334075,12.7410107,12.7410107,12.7410107,60,60,12
13,*_Se_13.vasp,1.6766,-3.531322964,-5.236622964,12.70703689,12.70703689,12.70703689,60,60,13
14,*_Se_14.vasp,1.6348,-3.54214889,-5.24414889,12.67261541,12.67261541,12.67261541,60,60,14
15,*_Se_15.vasp,1.6716,-3.578337779,-5.172137779,12.63831757,12.63831757,12.63831757,60,60,15
16,*_Se_16.vasp,1.588,-3.584511853,-5.221311853,12.60280751,12.60280751,12.60280751,60,60,16
17,*_Se_17.vasp,1.5063,-3.593893334,-5.268893334,12.56687786,12.56687786,12.56687786,60,60,17
18,*_Se_18.vasp,1.491,-3.597411853,-5.249911853,12.53025974,12.53025974,12.53025974,60,60,18
19,*_Se_19.vasp,1.433,-3.594200742,-5.273700742,12.49314549,12.49314549,12.49314549,60,60,19
20,*_Se_20.vasp,1.2702,-3.594437779,-5.402837779,12.45543322,12.45543322,12.45543322,60,60,20
21,*_Se_21.vasp,1.2189,-3.59694889,-5.41914889,12.41730372,12.41730372,12.41730372,60,60,21
22,*_Se_22.vasp,1.1549,-3.585282223,-5.449582223,12.3782378,12.3782378,12.3782378,60,60,22
23,*_Se_23.vasp,1.0774,-3.580915557,-5.492715557,12.33892604,12.33892604,12.33892604,60,60,23
24,*_Se_24.vasp,1.026,-3.579137779,-5.509337779,12.29906763,12.29906763,12.29906763,60,60,24
25,*_Se_25.vasp,0.9309,-3.569460001,-5.570460001,12.25820759,12.25820759,12.25820759,60,60,25
26,*_Se_26.vasp,0.7548,-3.556115557,-5.712215557,12.21714288,12.21714288,12.21714288,60,60,26
27,*_Se_27.vasp,0.653,-3.543804445,-5.780804445,12.17450369,12.17450369,12.17450369,60,60,27
